PostalCode,n,median,mean,std
2196,32,27011.0,50878.0,76752.0
4360,25,26316.0,39469.0,50642.0
7405,29,19271.0,21002.0,16302.0
4068,29,18421.0,23153.0,22250.0
7100,26,18205.0,21718.0,22866.0
7784,45,14917.0,36772.0,59357.0
1863,44,12907.0,30916.0,47274.0
8000,49,12882.0,35010.0,59433.0
0458,31,6140.0,20774.0,28701.0
0122,190,6140.0,17432.0,35075.0
2000,471,6140.0,19236.0,27188.0
0299,65,2193.0,12760.0,20031.0
0470,41,1300.0,10624.0,18314.0
0400,33,880.0,7302.0,15411.0
0152,29,877.0,11706.0,25936.0
0001,0,,,
0002,0,,,
0004,0,,,
0005,0,,,
0006,0,,,
0007,0,,,
0008,0,,,
0017,0,,,
0021,0,,,
0022,0,,,
0029,0,,,
0031,0,,,
0035,0,,,
0037,0,,,
0044,0,,,
0046,0,,,
0049,0,,,
0054,0,,,
0064,0,,,
0066,0,,,
0081,0,,,
0084,0,,,
0101,0,,,
0112,0,,,
0116,0,,,
0118,0,,,
0120,0,,,
0121,0,,,
0125,0,,,
0129,0,,,
0132,0,,,
0139,0,,,
0143,0,,,
0147,0,,,
0149,0,,,
0151,0,,,
0153,0,,,
0154,0,,,
0157,0,,,
0161,0,,,
0162,0,,,
0164,0,,,
0168,0,,,
0172,0,,,
0175,0,,,
0177,0,,,
0179,0,,,
0181,0,,,
0182,0,,,
0183,0,,,
0184,0,,,
0186,0,,,
0187,0,,,
0190,0,,,
0192,0,,,
0193,0,,,
0194,0,,,
0195,0,,,
0196,0,,,
0198,0,,,
0199,0,,,
0200,0,,,
0201,0,,,
0208,0,,,
0220,0,,,
0250,0,,,
0258,0,,,
0264,0,,,
0268,0,,,
0269,0,,,
0277,0,,,
0284,0,,,
0286,0,,,
0292,0,,,
0300,0,,,
0301,0,,,
0302,0,,,
0303,0,,,
0305,0,,,
0307,0,,,
0308,0,,,
0309,0,,,
0310,0,,,
0311,0,,,
0314,0,,,
0316,0,,,
0317,0,,,
0318,0,,,
0320,0,,,
0322,0,,,
0325,0,,,
0331,0,,,
0333,0,,,
0335,0,,,
0337,0,,,
0338,0,,,
0340,0,,,
0351,0,,,
0355,0,,,
0356,0,,,
0360,0,,,
0362,0,,,
0365,0,,,
0370,0,,,
0371,0,,,
0379,0,,,
0380,0,,,
0382,0,,,
0388,0,,,
0399,0,,,
0402,0,,,
0404,0,,,
0407,0,,,
0414,0,,,
0422,0,,,
0430,0,,,
0431,0,,,
0449,0,,,
0450,0,,,
0453,0,,,
0455,0,,,
0456,0,,,
0457,0,,,
0459,0,,,
0462,0,,,
0465,0,,,
0466,0,,,
0467,0,,,
0469,0,,,
0472,0,,,
0473,0,,,
0474,0,,,
0475,0,,,
0476,0,,,
0477,0,,,
0479,0,,,
0485,0,,,
0486,0,,,
0495,0,,,
0510,0,,,
0530,0,,,
0555,0,,,
0556,0,,,
0557,0,,,
0561,0,,,
0600,0,,,
0607,0,,,
0608,0,,,
0609,0,,,
0617,0,,,
0621,0,,,
0623,0,,,
0628,0,,,
0631,0,,,
0690,0,,,
0699,0,,,
0700,0,,,
0708,0,,,
0721,0,,,
0727,0,,,
0736,0,,,
0737,0,,,
0738,0,,,
0739,0,,,
0742,0,,,
0743,0,,,
0745,0,,,
0746,0,,,
0748,0,,,
0751,0,,,
0790,0,,,
0802,0,,,
0807,0,,,
0812,0,,,
0821,0,,,
0827,0,,,
0837,0,,,
0902,0,,,
0920,0,,,
0925,0,,,
0931,0,,,
0939,0,,,
0942,0,,,
0945,0,,,
0950,0,,,
0951,0,,,
0970,0,,,
0982,0,,,
0984,0,,,
0993,0,,,
1000,0,,,
1003,0,,,
1020,0,,,
1021,0,,,
1022,0,,,
1023,0,,,
1024,0,,,
1026,0,,,
1027,0,,,
1030,0,,,
