PostalCode,n,mean,std,ci_lower,ci_upper
9744,50,175.1040789473676,303.0099451791744,91.11400724212959,259.09415065260566
1423,120,171.01085689571093,328.4395057373318,112.24557304677082,229.77614074465106
4319,54,170.421530214425,330.4761714389563,82.276193288814,258.566867140036
3635,108,169.4900584795321,312.7818364773283,110.49906383351384,228.48105312555037
3276,88,165.28060577120922,300.23136626469466,102.5512542583538,228.00995728406465
4140,70,163.8336403508768,295.41326965505334,94.62870762300463,233.03857307874898
4270,128,160.6973026315786,306.98311054295596,107.515192033786,213.8794132293712
3010,72,158.9147548025527,314.8540861458369,86.18717139920123,231.64233820590414
3245,70,158.27797099892555,276.1667716434904,93.58181542142522,222.97412657642587
4180,88,157.28193162525056,285.88739266210894,97.54956265090325,217.01430059959787
3200,64,156.91312499999964,279.91442410550854,88.33409109415004,225.49215890584924
3925,60,154.23290341444968,292.17423811848715,80.30262079743194,228.16318603146743
4470,70,152.13340100250585,270.6100943256107,88.7389793668267,215.527822638185
4111,126,151.9266979949871,255.0940864299453,107.38454659704921,196.468849392925
4342,71,150.39299851741993,278.04223189976676,85.71781599712261,215.06818103771724
4182,55,149.67576580748022,288.66240662970665,73.38623310704199,225.96529850791845
4220,72,149.61645782242306,277.9114460475189,85.42218891970013,213.81072672514597
0738,60,148.25208588002232,243.31796934146672,86.68414493131183,209.8200268287328
4089,605,148.1210227200228,277.5904157329848,126.00113840395905,170.24090703608658
4100,73,147.17056825669974,280.3529249296904,82.85742546771893,211.48371104568054
5900,99,146.63057504873254,275.81995809647924,92.29751538305865,200.96363471440642
3629,248,144.57241511035608,278.23018833880246,109.94385124112753,179.20097897958462
3607,72,144.33633406432708,283.9636164205916,78.74408512911678,209.92858299953735
4074,437,142.97947499404705,269.08307338314705,117.75037649748201,168.20857349061208
3297,170,140.16207205632648,250.25565230276996,102.54235663515895,177.781787477494
9725,100,139.7568771929821,218.36608415498515,96.95712469860501,182.5566296873592
3660,221,139.3972828054293,282.14434787941303,102.1982807529601,176.59628485789852
1405,123,138.79409881706573,386.7710230962376,70.44112014641955,207.1470774877119
0112,50,138.658175438596,255.14082538597796,67.93674678571652,209.37960409147547
1828,50,138.5026666666664,232.63248030955265,74.0202329610232,202.98510037230963
6120,56,138.3611380571963,263.96373356893594,69.22480830879168,207.49746780560093
1820,60,138.3223710149024,258.9974748354527,72.78696777406685,203.85777425573792
5611,56,137.76795895989943,260.5313650614256,69.53062150011273,206.00529641968615
4430,90,137.04509781906924,300.6293177482814,74.93443728594187,199.1557583521966
4990,90,136.916631578947,225.77562643613348,90.27090389256593,183.5623592653281
1688,110,135.56268181818143,225.63724801881347,93.39589357183294,177.72947006452992
3203,105,135.50604010025037,251.02419468115303,87.4910322396183,183.52104796088244
8447,100,134.77561403508741,210.06886113365397,93.60211725289123,175.9491108172836
1577,81,134.7591829633818,259.67348645905383,78.20806813452117,191.3102977922424
1794,77,134.6713305992249,220.24449216880495,85.47691959157513,183.86574160687465
4980,108,134.4870614035085,214.6848168069631,93.99727139052946,174.97685141648753
0118,111,134.23439917591583,252.27405938673348,87.30260282069548,181.16619553113617
9334,110,134.22874003189753,208.84802548695035,95.19949932053257,173.2579807432625
3600,154,133.86406641603975,225.05091631928332,98.31923191281334,169.40890091926616
6390,117,133.31636227320394,233.55279632597805,90.99611350255341,175.63661104385446
4075,65,132.4978725660302,265.2545037208533,68.01235950951803,196.98338562254236
1742,132,132.1563171185535,212.34342407879126,95.93135650773567,168.3812777293713
7130,92,132.00355854309663,253.26063593670287,80.25123529915417,183.75588178703907
0084,297,131.89522476224195,258.87738501578076,102.45290943142992,161.33754009305397
9830,56,131.7608946473322,244.0118093553884,67.85029342190575,195.67149587275867
7806,125,130.8848050626564,241.37907528892907,88.56918744039693,173.20042268491585
0807,108,130.43935900458993,329.9278442743954,68.21460863429806,192.6641093748818
5252,110,130.207106082655,284.88390102287843,76.9683822695379,183.4458298957721
4457,52,130.1638713450291,257.4058239250076,60.200171435077024,200.12757125498115
4275,144,130.00113021128053,257.60017780190327,87.92643450363633,172.07582591892472
0054,230,129.75462003887657,232.27802276115963,99.73533988776917,159.77390018998398
5365,54,129.5949707602335,250.77455564592813,62.707825452500614,196.4821160679664
1819,135,129.21561078622446,242.07747430980953,88.37957585449249,170.05164571795643
7655,55,129.01902711323746,225.55951175705795,69.40672792611474,188.63132630036017
0172,150,128.87827522974055,249.59801401922465,88.93427391934324,168.82227654013786
4800,93,128.32121319876723,247.03993835551498,78.11219058097242,178.53023581656203
3306,50,128.14695336728866,266.5310995419335,54.268301797071175,202.02560493750616
2095,130,127.74742245191082,243.03070695500085,85.96962447925375,169.5252204245679
4490,88,127.10576455342874,252.72215573180037,74.30283080529384,179.90869830156365
7195,64,126.61028689888752,259.07835756971497,63.136089294307354,190.0844845034677
5320,220,126.47340778081534,230.1334815514861,96.06283930521633,156.88397625641434
5720,108,126.27558715336693,214.51205085599622,85.81838098669841,166.73279332003546
7101,221,125.90403142154476,246.55604326189365,93.39712909200463,158.41093375108488
8601,60,125.73654970760201,196.7287704317915,75.95730260292555,175.51579681227847
6025,171,125.36475393527644,230.24434576401305,90.85459257398415,159.87491529656873
0268,192,125.30696204135971,244.58032015685936,90.71087618950304,159.90304789321638
2940,50,125.27388431360617,239.79902231710176,58.80498651109403,191.74278211611832
6001,120,125.20803435672474,217.23771062714195,86.33927616931138,164.0767925441381
1841,177,125.04256219645116,219.51678721595155,92.70277364305198,157.38235074985033
4260,122,124.99508846398759,253.9401912868902,79.93338571404419,170.05679121393098
1725,90,124.7720540841348,281.1931020033839,66.67695732642986,182.86715084183973
